family,method,run,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean
permutation,permuted_llm_a1p25,65,2.6548209295799206,3.9039763918189636,-0.6580332901274318,0.11758435125610622,3.1738803920525243
permutation,permuted_gated_a1_d0p15,65,2.5804515780515276,3.6879350844678034,-0.002007664923739344,0.21254567674855362,3.8299060172562167
permutation,permuted_llm_a1p25,66,2.618293093938489,3.8862775208892537,-0.6510689550794314,0.12556716527063805,3.1808447271005242
permutation,permuted_gated_a1_d0p15,66,2.5598027622290345,3.6649426118829864,0.006368762313826759,0.22233385467799982,3.8382824444937826
permutation,permuted_llm_a1p25,67,2.633446483642025,3.863946786013606,-0.6353131885047768,0.1355873591154768,3.1966004936751795
permutation,permuted_gated_a1_d0p15,67,2.5829258778013275,3.6828981185108827,0.024192648632439123,0.2146952113229027,3.856106330812395
permutation,permuted_llm_a1p25,68,2.642661379476197,3.8742692735510382,-0.6354416729238971,0.13096265390980077,3.196472009256059
permutation,permuted_gated_a1_d0p15,68,2.582750358569238,3.6828305961696532,0.03149183464331456,0.2147240066520797,3.863405516823271
permutation,permuted_llm_a1p25,69,2.6460290441974466,3.896725449992,-0.634397824289883,0.1208591674953251,3.197515857890073
permutation,permuted_gated_a1_d0p15,69,2.5801909081210854,3.684497900042203,0.023609692439709378,0.21401281994689125,3.8555233746196653
permutation,permuted_llm_a1p25,70,2.662668218436332,3.8645864471361207,-0.6243938797384413,0.13530113523166454,3.207519802441515
permutation,permuted_gated_a1_d0p15,70,2.576775968323888,3.6648641399327326,0.03325490073452257,0.22236715633219395,3.8651685829144786
permutation,permuted_llm_a1p25,71,2.6645629417501784,3.903511167480708,-0.6309813593092106,0.11779464800731854,3.200932322870745
permutation,permuted_gated_a1_d0p15,71,2.598920330457038,3.6975753492206294,0.03816435919023208,0.2084234838287763,3.8700780413701885
permutation,permuted_llm_a1p25,72,2.624401207270035,3.867433935549487,-0.64734304461657,0.13402641819092043,3.1845706375633864
permutation,permuted_gated_a1_d0p15,72,2.5794043566445426,3.680234111137483,0.016860938740443122,0.2158308936252329,3.8487746209203992
permutation,permuted_llm_a1p25,73,2.653871524643106,3.883620129888934,-0.6334480984625266,0.1267626102537105,3.1984655837174296
permutation,permuted_gated_a1_d0p15,73,2.593006087538565,3.6974861704149378,0.017759148311514344,0.2084616661457731,3.8496728304914707
permutation,permuted_llm_a1p25,74,2.641869061476227,3.8855621633947712,-0.6337363847752583,0.12588905402238149,3.1981772974046976
permutation,permuted_gated_a1_d0p15,74,2.5870220636323147,3.699359829248614,0.022360626014200965,0.2076592568935749,3.8542743081941566
permutation,permuted_llm_a1p25,75,2.644029526462,3.896749150816775,-0.6339268200216613,0.12084847316930358,3.1979868621582943
permutation,permuted_gated_a1_d0p15,75,2.583774837753715,3.6919717569555495,0.035911284311132226,0.21082089864471476,3.867824966491088
permutation,permuted_llm_a1p25,76,2.6342393800000323,3.8786424854642725,-0.6302226233330137,0.128999636283047,3.2016910588469427
permutation,permuted_gated_a1_d0p15,76,2.5863086680124785,3.6936103885211216,0.0214820325008639,0.21012021031320072,3.85339571468082
permutation,permuted_llm_a1p25,77,2.6586953963825812,3.8789309361214483,-0.6368046802341465,0.12887008066119743,3.1951090019458093
permutation,permuted_gated_a1_d0p15,77,2.5865645605285503,3.6821538995427394,0.016756377578509632,0.21501255904781236,3.848670059758465
permutation,permuted_llm_a1p25,78,2.649006408985713,3.9049503050899457,-0.6512413800618521,0.11714402917416755,3.1806723021181034
permutation,permuted_gated_a1_d0p15,78,2.58087414763888,3.6829659667432053,0.01589286349323362,0.21466627648364212,3.847806545673189
permutation,permuted_llm_a1p25,79,2.630359129205111,3.8478278634407457,-0.6198822133011191,0.14278432054620793,3.2120314688788367
permutation,permuted_gated_a1_d0p15,79,2.570098643696267,3.664440535268247,0.037961887061512295,0.22254691189738485,3.8698755692414686
permutation,permuted_llm_a1p25,80,2.6319358562980235,3.8525491731823385,-0.645471709497843,0.14067941157403996,3.1864419726821125
