method,sample_size,seed,leaf,calibrated_leaf_value
llm_rule_small_hist_calibrated_n100,100,20270615,worker_vehicle_household,6.736377060341068
llm_rule_small_hist_calibrated_n100,100,20270616,carless_nonworker,10.390654704426144
llm_rule_small_hist_calibrated_n100,100,20270616,carless_worker,12.063321936663858
llm_rule_small_hist_calibrated_n100,100,20270616,large_low_vehicle,13.080587753492829
llm_rule_small_hist_calibrated_n100,100,20270616,large_multi_vehicle,17.289994690657874
llm_rule_small_hist_calibrated_n100,100,20270616,multi_worker_multi_vehicle,12.575753357250104
llm_rule_small_hist_calibrated_n100,100,20270616,nonworker_other,9.336366032497311
llm_rule_small_hist_calibrated_n100,100,20270616,urban_nonworker,10.69013965452936
llm_rule_small_hist_calibrated_n100,100,20270616,worker_vehicle_household,8.537442488237682
llm_rule_small_hist_calibrated_n100,100,20270617,carless_nonworker,8.145189918260428
llm_rule_small_hist_calibrated_n100,100,20270617,carless_worker,8.243958697440206
llm_rule_small_hist_calibrated_n100,100,20270617,large_multi_vehicle,10.580648907270088
llm_rule_small_hist_calibrated_n100,100,20270617,multi_worker_multi_vehicle,11.636307702244526
llm_rule_small_hist_calibrated_n100,100,20270617,nonworker_other,7.800421608767239
llm_rule_small_hist_calibrated_n100,100,20270617,urban_nonworker,6.470006284591752
llm_rule_small_hist_calibrated_n100,100,20270617,worker_vehicle_household,9.14644079531179
llm_rule_small_hist_calibrated_n100,100,20270618,carless_nonworker,7.248557898017996
llm_rule_small_hist_calibrated_n100,100,20270618,carless_worker,8.106173661220936
llm_rule_small_hist_calibrated_n100,100,20270618,large_low_vehicle,8.82045937550665
llm_rule_small_hist_calibrated_n100,100,20270618,large_multi_vehicle,10.767872145179918
llm_rule_small_hist_calibrated_n100,100,20270618,multi_worker_multi_vehicle,8.698003407756591
llm_rule_small_hist_calibrated_n100,100,20270618,nonworker_other,6.515474388812065
llm_rule_small_hist_calibrated_n100,100,20270618,urban_nonworker,6.026782473423586
llm_rule_small_hist_calibrated_n100,100,20270618,worker_vehicle_household,7.406499683756476
llm_rule_small_hist_calibrated_n100,100,20270619,carless_nonworker,8.905916284200757
llm_rule_small_hist_calibrated_n100,100,20270619,large_low_vehicle,11.047448671170416
llm_rule_small_hist_calibrated_n100,100,20270619,large_multi_vehicle,10.682723419222974
llm_rule_small_hist_calibrated_n100,100,20270619,multi_worker_multi_vehicle,11.324868091439189
llm_rule_small_hist_calibrated_n100,100,20270619,nonworker_other,8.457888052788343
llm_rule_small_hist_calibrated_n100,100,20270619,urban_nonworker,7.52793641189905
llm_rule_small_hist_calibrated_n100,100,20270619,worker_vehicle_household,9.624716077921699
llm_rule_small_hist_calibrated_n100,100,20270620,carless_nonworker,6.695461888401517
llm_rule_small_hist_calibrated_n100,100,20270620,carless_worker,6.885938078877707
llm_rule_small_hist_calibrated_n100,100,20270620,large_low_vehicle,6.7736139513643145
llm_rule_small_hist_calibrated_n100,100,20270620,large_multi_vehicle,9.789076148264348
llm_rule_small_hist_calibrated_n100,100,20270620,multi_worker_multi_vehicle,8.100203381806029
llm_rule_small_hist_calibrated_n100,100,20270620,nonworker_other,6.125247720619566
llm_rule_small_hist_calibrated_n100,100,20270620,urban_nonworker,6.685038612438747
llm_rule_small_hist_calibrated_n100,100,20270620,worker_vehicle_household,5.6636879345940585
llm_rule_small_hist_calibrated_n100,100,20270621,carless_nonworker,10.822804023644881
llm_rule_small_hist_calibrated_n100,100,20270621,carless_worker,9.585165323401647
llm_rule_small_hist_calibrated_n100,100,20270621,large_low_vehicle,11.946257957798533
