method,sample_size,seed,calibration_rows,event_alpha,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean,exact_rounded_accuracy,within_2_trips,within_3_trips,weighted_within_2_trips,weighted_within_3_trips
llm_rule_small_hist_calibrated_n100,100,20270614,100,1.0,2.591451745428525,3.9035133241929127,-0.9446838923373247,0.1177936731600624,2.8872297898426313,0.16787026479158748,0.5520081084505258,0.73685544153047,0.5594756034295296,0.7392273670195069
llm_rule_small_hist_calibrated_n100,100,20270615,100,1.0,2.887631099952367,3.8647833755837024,0.7161610705357916,0.13521300774584655,4.548074752715748,0.1059166349930318,0.43557582668187,0.616368934498923,0.4270693148285086,0.6118584607380357
llm_rule_small_hist_calibrated_n100,100,20270616,100,1.0,3.646331123962034,4.489079714261579,2.3575727946987883,-0.16673834329187098,6.189486476878744,0.06993538578487267,0.30216647662485746,0.47725833016596986,0.29324817106770945,0.4692349796354246
llm_rule_small_hist_calibrated_n100,100,20270617,100,1.0,3.100755396977707,4.037797655089519,1.0978538972626177,0.056052286587228495,4.929767579442574,0.0929937919675662,0.3595591030026606,0.5754465982516154,0.3521169384172038,0.5765399830893083
llm_rule_small_hist_calibrated_n100,100,20270618,100,1.0,2.7797302529240344,3.805258882445762,0.4465677621742792,0.16164636334991167,4.278481444354235,0.1066768022298239,0.4549600912200684,0.6550107690358545,0.44403342856037675,0.655325485472955
llm_rule_small_hist_calibrated_n100,100,20270619,100,1.0,3.216860867333121,4.101131983847435,1.3455483530051928,0.02620771823992729,5.177462035185148,0.08133789433675409,0.3326998606360066,0.5227416698340301,0.32703204166265265,0.52299285759133
llm_rule_small_hist_calibrated_n100,100,20270620,100,1.0,2.6714678613857035,3.8001893412421617,-0.005659724834760058,0.16387866205388402,3.826253957345196,0.1270746230837451,0.49246167490181175,0.6752818953503104,0.4883993178356551,0.6802788468599824
llm_rule_small_hist_calibrated_n100,100,20270621,100,1.0,3.3282391126378412,4.160222382419329,1.7668777620261307,-0.0020558510704125066,5.598791444206086,0.07627011275814012,0.3272519954389966,0.507791714177119,0.3173744515146354,0.49400194911020784
llm_rule_small_hist_calibrated_n100,100,20270622,100,1.0,3.6229822913376193,4.41756860736094,2.2397406788231717,-0.12986210261418196,6.0716543610031275,0.06904852400861523,0.2886101609020651,0.45977448371975166,0.28021876827594394,0.4530793962371087
llm_rule_small_hist_calibrated_n100,100,20270623,100,1.0,2.74636038980128,3.8383534318874455,0.23836400303723718,0.14700053431775695,4.070277685217193,0.12352717597871532,0.4558469529963259,0.6615988850880528,0.44590942196115524,0.6631866835665304
llm_rule_small_hist_calibrated_n100,100,20270624,100,1.0,2.8780026584692067,3.9370070648720135,0.39298725199985146,0.10258933998281139,4.224900934179807,0.10743696946661599,0.4203724819460281,0.6376536171291017,0.41725324427229765,0.6355236097100064
llm_rule_small_hist_calibrated_n100,100,20270625,100,1.0,3.0158585914663414,4.068897932603704,0.9546287806395436,0.041455173742435236,4.7865424628195,0.10845052578233878,0.43886988470796906,0.6251108577220322,0.42508334301165274,0.6165161157371962
llm_rule_small_hist_calibrated_n100,100,20270626,100,1.0,2.747773331357963,3.956442541159415,-0.199362622841714,0.09370713350999005,3.6325510593382417,0.13112884834663627,0.4835930571392373,0.674395033574053,0.47678524619194035,0.6776698900661051
llm_rule_small_hist_calibrated_n100,100,20270627,100,1.0,2.635300386287887,3.87354650949883,-0.3801180178301152,0.1312868700760108,3.451795664349841,0.1265678449258837,0.5061446851640694,0.6997339414671228,0.5056639783909881,0.7077963725771751
llm_rule_small_hist_calibrated_n100,100,20270628,100,1.0,2.7904948174734203,3.8224802980982204,0.45334634547537916,0.154040937801333,4.285260027655335,0.11250475104522994,0.4533130622070189,0.6476624857468644,0.4476718523876157,0.6473284025876972
llm_rule_small_hist_calibrated_n100,100,20270629,100,1.0,2.7597775317220257,3.79069553399642,0.4315590025200574,0.16805111694930497,4.263472684700013,0.12264031420245787,0.45343975674648423,0.6664132775877359,0.44211078535659964,0.6632552527783542
llm_rule_small_hist_calibrated_n250,250,20285610,250,1.0,2.7662155105294697,3.790259056701366,0.4876832687144337,0.16824269439931927,4.319596950894389,0.1195996452552895,0.4634486253642468,0.6632459141011022,0.4531997940192204,0.6602430655700928
llm_rule_small_hist_calibrated_n250,250,20285611,250,1.0,2.8688137840348316,3.9016985088038947,0.7729334749594859,0.11861379047920606,4.604847157139442,0.11921956163689346,0.4567338147725833,0.6575446598251615,0.4443158766064713,0.6519312324471351
llm_rule_small_hist_calibrated_n250,250,20285612,250,1.0,2.87232686223418,3.8627048069199943,0.8612114359422752,0.1361429619475928,4.693125118122231,0.11085772203218042,0.44140377549727605,0.6380337007474978,0.43378886221610535,0.632266842416467
