year,package,table_name,column_name,column_index
2001,ascii,LDTPUB,IMPTAGE,119
2001,ascii,LDTPUB,IMPTSEX,120
2001,ascii,LDTPUB,IMPTRACE,121
2001,ascii,LDTPUB,EDUC,122
2001,ascii,LDTPUB,OCCAT,123
2001,ascii,LDTPUB,PROXY,124
2001,ascii,LDTPUB,PROXCAT,125
2001,ascii,LDTPUB,R_RELAT,126
2001,ascii,LDTPUB,R_SEX,127
2001,ascii,LDTPUB,DRIVER,128
2001,ascii,LDTPUB,WORKER,129
2001,ascii,LDTPUB,R_AGEWGT,130
2001,ascii,LDTPUB,R_AGE,131
2001,ascii,LDTPUB,PRMACT,132
2001,ascii,LDTPUB,HHSTATE,133
2001,ascii,LDTPUB,HHSTFIPS,134
2001,ascii,LDTPUB,MSAPOP,135
2001,ascii,LDTPUB,SMPLAREA,136
2001,ascii,PERPUB,HOUSEID,0
2001,ascii,PERPUB,PRCASEID,1
2001,ascii,PERPUB,PERSONID,2
2001,ascii,PERPUB,MSACAT,3
2001,ascii,PERPUB,RAIL,4
2001,ascii,PERPUB,CDIVMSAR,5
2001,ascii,PERPUB,INDVINC,6
2001,ascii,PERPUB,URBRUR,7
2001,ascii,PERPUB,HBHUR,8
2001,ascii,PERPUB,HTHUR,9
2001,ascii,PERPUB,IMPTAGE,10
2001,ascii,PERPUB,IMPTSEX,11
2001,ascii,PERPUB,IMPTRACE,12
2001,ascii,PERPUB,IMPTHOWN,13
2001,ascii,PERPUB,IMPTHTYP,14
2001,ascii,PERPUB,FLGPRDRV,15
2001,ascii,PERPUB,WORKGEO,16
2001,ascii,PERPUB,CONDRIVE,17
2001,ascii,PERPUB,GT1JBLWK,18
2001,ascii,PERPUB,CONDNIGH,19
2001,ascii,PERPUB,AGERANGE,20
2001,ascii,PERPUB,BORNINUS,21
2001,ascii,PERPUB,CONDPUB,22
2001,ascii,PERPUB,CONDRIDE,23
2001,ascii,PERPUB,CONDSPEC,24
2001,ascii,PERPUB,CONDTRAV,25
2001,ascii,PERPUB,DIARYCMP,26
2001,ascii,PERPUB,DTACDT,27
2001,ascii,PERPUB,DTCONJ,28
2001,ascii,PERPUB,DTDISTRC,29
2001,ascii,PERPUB,DTDRUNK,30
2001,ascii,PERPUB,DTGAS,31
2001,ascii,PERPUB,DTRRAGE,32
2001,ascii,PERPUB,DTSPEED,33
2001,ascii,PERPUB,DTTIEUP,34
2001,ascii,PERPUB,DTTRUCKS,35
2001,ascii,PERPUB,EDUC,36
2001,ascii,PERPUB,FRSTHM,37
2001,ascii,PERPUB,MEDCOND,38
2001,ascii,PERPUB,MEDCOND6,39
2001,ascii,PERPUB,OCCAT,40
2001,ascii,PERPUB,OUTOFTWN,41
2001,ascii,PERPUB,OUTCNTRY,42
2001,ascii,PERPUB,PAYPROF,43
2001,ascii,PERPUB,PROXY,44
2001,ascii,PERPUB,PTUSED,45
2001,ascii,PERPUB,USULDRV,46
2001,ascii,PERPUB,WEBACC,47
2001,ascii,PERPUB,WEBHOME,48
2001,ascii,PERPUB,WEBOTHER,49
2001,ascii,PERPUB,WEBUSE,50
2001,ascii,PERPUB,WEBWORK,51
2001,ascii,PERPUB,WKFMHM2M,52
2001,ascii,PERPUB,WKFMHMXX,53
2001,ascii,PERPUB,WKFTPT,54
2001,ascii,PERPUB,WRKDRIVE,55
2001,ascii,PERPUB,WRKTRANS,56
2001,ascii,PERPUB,WRKTRPS,57
2001,ascii,PERPUB,WHERBORN,58
2001,ascii,PERPUB,USEPUBTR,59
2001,ascii,PERPUB,YRMLCAT,60
2001,ascii,PERPUB,PROXCAT,61
2001,ascii,PERPUB,TRAVDAY,62
2001,ascii,PERPUB,TDBOA911,63
2001,ascii,PERPUB,SMPLAREA,64
2001,ascii,PERPUB,SMPLFIRM,65
2001,ascii,PERPUB,SMPLSRCE,66
2001,ascii,PERPUB,HHR_HISP,67
2001,ascii,PERPUB,HOMEOWN,68
2001,ascii,PERPUB,HOMETYPE,69
2001,ascii,PERPUB,HHR_EDUC,70
2001,ascii,PERPUB,LANG,71
2001,ascii,PERPUB,TDAYDATE,72
2001,ascii,PERPUB,HHRESP,73
2001,ascii,PERPUB,HHFAMINC,74
2001,ascii,PERPUB,HHR_RACE,75
2001,ascii,PERPUB,NUMADLT,76
2001,ascii,PERPUB,HHSIZE,77
2001,ascii,PERPUB,HHVEHCNT,78
2001,ascii,PERPUB,URBAN,79
2001,ascii,PERPUB,MSASIZE,80
2001,ascii,PERPUB,CENSUS_R,81
2001,ascii,PERPUB,CENSUS_D,82
2001,ascii,PERPUB,HHR_DRVR,83
2001,ascii,PERPUB,HHR_WRKR,84
2001,ascii,PERPUB,WRKCOUNT,85
2001,ascii,PERPUB,WKSTFIPS,86
2001,ascii,PERPUB,GCDWORK,87
2001,ascii,PERPUB,R_RELAT,88
2001,ascii,PERPUB,R_SEX,89
2001,ascii,PERPUB,CNTTDTR,90
2001,ascii,PERPUB,DTNOWALK,91
2001,ascii,PERPUB,DTPVPOT,92
2001,ascii,PERPUB,YRMLCAP,93
2001,ascii,PERPUB,NWALKTRP,94
2001,ascii,PERPUB,NBIKETRP,95
2001,ascii,PERPUB,YEARMILE,96
2001,ascii,PERPUB,COMMDRVR,97
2001,ascii,PERPUB,WEBWHER,98
2001,ascii,PERPUB,WORKLOC,99
2001,ascii,PERPUB,DISTTOWK,100
2001,ascii,PERPUB,WORKSTAT,101
2001,ascii,PERPUB,TIMETOWK,102
2001,ascii,PERPUB,CARRODE,103
2001,ascii,PERPUB,DISTBLOC,104
2001,ascii,PERPUB,DIFFDATE,105
2001,ascii,PERPUB,CNTTPTR,106
2001,ascii,PERPUB,CNTTPUNQ,107
2001,ascii,PERPUB,PRMDRVR1,108
2001,ascii,PERPUB,PRMDRVR2,109
2001,ascii,PERPUB,PRMDRVR3,110
2001,ascii,PERPUB,DRIVER,111
2001,ascii,PERPUB,WORKER,112
2001,ascii,PERPUB,EXPFLPRN,113
2001,ascii,PERPUB,WTPRNTL,114
2001,ascii,PERPUB,HHINCTTL,115
2001,ascii,PERPUB,SAMEPLC,116
2001,ascii,PERPUB,LASTRPMM,117
2001,ascii,PERPUB,LASTRPYY,118
2001,ascii,PERPUB,LSTTRDT,119
2001,ascii,PERPUB,LSTTRDAY,120
2001,ascii,PERPUB,R_AGEWGT,121
2001,ascii,PERPUB,WTPERFIN,122
2001,ascii,PERPUB,EXPFLLPR,123
2001,ascii,PERPUB,HHSTATE,124
2001,ascii,PERPUB,HHSTFIPS,125
2001,ascii,PERPUB,HHC_MSA,126
2001,ascii,PERPUB,R_AGE,127
2001,ascii,PERPUB,YRTOUS,128
2001,ascii,PERPUB,HTPPOPDN,129
2001,ascii,PERPUB,HTHRESDN,130
2001,ascii,PERPUB,HBPPOPDN,131
2001,ascii,PERPUB,HBHRESDN,132
