method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,abs_weighted_bias,weighted_target_mean,weighted_prediction_mean,subgroup_column,subgroup_value
historical_xgboost,3199,48347256.666449025,4.724655462296371,5.646324851127876,3.8222492675269266,3.8222492675269266,4.518391692331188,8.340640959858113,HHVEHCNT,2
global_trip_suppression_a1,3199,48347256.666449025,2.798938728943172,3.9820604051168123,-0.08313104375057417,0.08313104375057417,4.518391692331188,4.435260648580614,HHVEHCNT,2
global_trip_suppression_a1p25,3199,48347256.666449025,2.821749565990614,4.155989030309248,-1.059476118272716,1.059476118272716,4.518391692331188,3.458915574058472,HHVEHCNT,2
cohort_trip_suppression_a1,3199,48347256.666449025,2.866683602532633,3.9756088416824475,0.3462073506372239,0.3462073506372239,4.518391692331188,4.864599042968412,HHVEHCNT,2
primary_gated_adapter,3199,48347256.666449025,2.7894053027274657,3.9720438369100863,-0.08144701138624956,0.08144701138624956,4.518391692331188,4.436944680944938,HHVEHCNT,2
historical_xgboost,1043,16859279.62179253,5.2973697938689055,6.302912515779149,4.210391336547058,4.210391336547058,5.285618726248936,9.496010062795994,HHVEHCNT,3
global_trip_suppression_a1,1043,16859279.62179253,3.2352643653428683,4.521497208966374,-0.23597325993526952,0.23597325993526952,5.285618726248936,5.049645466313666,HHVEHCNT,3
global_trip_suppression_a1p25,1043,16859279.62179253,3.22162993168497,4.749627758988551,-1.3475644141520648,1.3475644141520648,5.285618726248936,3.9380543120968707,HHVEHCNT,3
cohort_trip_suppression_a1,1043,16859279.62179253,3.416889976634678,4.5332884992585125,0.7410918557471181,0.7410918557471181,5.285618726248936,6.026710581996054,HHVEHCNT,3
primary_gated_adapter,1043,16859279.62179253,3.221456033265956,4.50345043089388,-0.155295267655519,0.155295267655519,5.285618726248936,5.130323458593416,HHVEHCNT,3
historical_xgboost,360,6251993.794303581,5.217972223759558,6.292994877875832,4.208200087268573,4.208200087268573,6.152551673807586,10.360751761076159,HHVEHCNT,4
global_trip_suppression_a1,360,6251993.794303581,3.1295925860377554,4.462908483435968,-0.6430668749507445,0.6430668749507445,6.152551673807586,5.509484798856842,HHVEHCNT,4
global_trip_suppression_a1p25,360,6251993.794303581,3.3237067251401955,4.8192829036317875,-1.8558836122261773,1.8558836122261773,6.152551673807586,4.29666806158141,HHVEHCNT,4
cohort_trip_suppression_a1,360,6251993.794303581,3.294001121528472,4.486559761628605,0.370687165784614,0.370687165784614,6.152551673807586,6.523238839592199,HHVEHCNT,4
primary_gated_adapter,360,6251993.794303581,3.15793323015406,4.4723079313825265,-0.5662521382855887,0.5662521382855887,6.152551673807586,5.586299535521997,HHVEHCNT,4
historical_xgboost,122,1810760.2076290352,5.3879673557152445,6.841340435199427,4.123395240142873,4.123395240142873,5.991506225614174,10.114901465757047,HHVEHCNT,5
global_trip_suppression_a1,122,1810760.2076290352,3.6056473547436716,4.8995426622633405,-0.6127559967661147,0.6127559967661147,5.991506225614174,5.37875022884806,HHVEHCNT,5
global_trip_suppression_a1p25,122,1810760.2076290352,3.7593050044146086,5.132810263144994,-1.796793807425023,1.796793807425023,5.991506225614174,4.194712418189151,HHVEHCNT,5
cohort_trip_suppression_a1,122,1810760.2076290352,3.7555702968465305,4.970515914176104,0.4969820660272778,0.4969820660272778,5.991506225614174,6.4884882916414535,HHVEHCNT,5
primary_gated_adapter,122,1810760.2076290352,3.6855948993601877,4.945015631486033,-0.5115965120711025,0.5115965120711025,5.991506225614174,5.479909713543072,HHVEHCNT,5
historical_xgboost,6306,102919309.81442939,4.275256843505037,5.269357346957938,3.5205641976557436,3.5205641976557436,3.870904830814246,7.391469028469989,URBRUR,1
