method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
gated_trip_suppression_a1_d0p1,0,0.0,0,7893,2.508796739909321,3.587288602434049,-0.09689427479798429,0.23346720426891132,2.537400977118662,3.609063870877688,0.13695636903028888,0.24586695423592486,3.831913682179956,3.9688700512102444,cuda
gated_trip_suppression_a1_d0p15,0,0.0,0,7893,2.4738369894694108,3.587177276821952,-0.2532417866863675,0.23351477970430135,2.5022798339489665,3.6038437615055248,-0.023038008084742226,0.24804691566227388,3.831913682179956,3.808875674095214,cuda
llm_recovery_pressure_a1p25,0,0.0,0,7893,2.5837385394417276,3.672094488324007,-0.050857613457913294,0.1967961145213104,2.648186070007601,3.730565953780295,0.19957722764942398,0.1942352196397693,3.831913682179956,4.0314909098293805,cuda
global_recovery_pressure_a1p25,0,0.0,0,7893,2.501536950626449,3.5853117516077226,-0.081054955364435,0.23431179952387315,2.567391313882335,3.6292409715842586,0.20558488187432655,0.23741115881793418,3.831913682179956,4.037498564054283,cuda
llm_confidence_pressure_a1p25,0,0.0,0,7893,2.827474564190664,3.77039358748545,1.005333117951092,0.15321826542414851,2.9781725502138903,3.929585121168718,1.3230665719521855,0.10596970133707762,3.831913682179956,5.154980254132141,cuda
llm_trip_suppression_a1p25,0,0.0,0,7893,2.4923767754315085,3.6648069200275946,-0.7164180069138582,0.19998099710759787,2.4819721675202353,3.6600974223092853,-0.5403961310609204,0.22438870225407292,3.831913682179956,3.2915175511190355,cuda
global_trip_suppression_a1p25,0,0.0,0,7893,2.5276070439309843,3.7689724831165963,-0.9914545587400757,0.15385646852603296,2.522331852502907,3.743187105215461,-0.7477032340364844,0.18877391305281188,3.831913682179956,3.0842104481434713,cuda
gated_trip_suppression_a1p25_d0p05,0,0.0,0,7893,2.504713053359169,3.695632410417389,-0.8101698641608364,0.18646612821619646,2.4899962230691237,3.684372914016009,-0.6318506380005368,0.2140661437650765,3.831913682179956,3.2000630441794193,cuda
gated_trip_suppression_a1p25_d0p1,0,0.0,0,7893,2.520855100926581,3.7399572062843554,-0.9116930625801883,0.16683432185372193,2.4970554623990795,3.714093560085644,-0.7285115515282903,0.20133525299692778,3.831913682179956,3.103402130651666,cuda
gated_trip_suppression_a1p25_d0p15,0,0.0,0,7893,2.526126304979672,3.7925633119244466,-1.1071274524406673,0.14323092103471868,2.500199665112892,3.7643789067660873,-0.9285045229220791,0.17956250813208152,3.831913682179956,2.903409159257877,cuda
random_recovery_pressure_a0p75,42,0.0,0,7893,2.892912673203929,3.8147406808026165,1.2414842131987416,0.13318154963934004,3.069228336953118,3.996894647850142,1.5908497411363203,0.07507985641963477,3.831913682179956,5.422763423316277,cuda
random_trip_suppression_a0p75,42,0.0,0,7893,2.7357815067927884,3.7208272055624585,0.7290513063733696,0.17533586146027114,2.8729619419122248,3.859810316626846,1.0573439458031546,0.13743712709772793,3.831913682179956,4.889257627983111,cuda
random_recovery_pressure_a0p75,43,0.0,0,7893,2.9076526692058144,3.838111551901694,1.2426416683543828,0.12252795095527347,3.0939053428166954,4.029462937320939,1.5967768286449617,0.05994520964413852,3.831913682179956,5.428690510824918,cuda
random_trip_suppression_a0p75,43,0.0,0,7893,2.7195644592074375,3.694784573494041,0.7302472291117489,0.18683936064797946,2.852253681082081,3.8191801456577252,1.04915538217556,0.15550103098339918,3.831913682179956,4.881069064355516,cuda
random_recovery_pressure_a0p75,44,0.0,0,7893,2.9035101536599073,3.8281985019904257,1.245530159538919,0.12705475586091286,3.0861850822819608,4.0217451153217185,1.5990334958331218,0.06354282429544456,3.831913682179956,5.430947178013079,cuda
random_trip_suppression_a0p75,44,0.0,0,7893,2.7308253741138984,3.7068447462795775,0.7277242478189491,0.18152220998059865,2.8702371229200967,3.844423868788731,1.0575572760166316,0.14430032749932453,3.831913682179956,4.889470958196588,cuda
random_recovery_pressure_a0p75,45,0.0,0,7893,2.911632358921245,3.833031070109256,1.2438448027504652,0.12484942088083528,3.098178278659544,4.03109980169326,1.6009565583421246,0.0591813089679073,3.831913682179956,5.432870240522081,cuda
